Title,Name,Start,End,Party
Chancellor of the Exchequer,Charles Ritchie,1902-08-11,1903-10-09,Conservative
Chancellor of the Exchequer,Austen Chamberlain,1903-10-09,1905-12-04,Liberal Unionist
Chancellor of the Exchequer,Herbert Henry Asquith,1905-12-10,1908-04-16,Liberal
Chancellor of the Exchequer,David Lloyd George,1908-04-16,1915-05-25,Liberal
Chancellor of the Exchequer,Reginald McKenna,1915-05-25,1916-12-10,Liberal
Chancellor of the Exchequer,Bonar Law,1916-12-10,1919-01-10,Conservative
Chancellor of the Exchequer,Austen Chamberlain,1919-01-10,1921-04-01,Conservative
Chancellor of the Exchequer,Robert Horne,1921-04-01,1922-10-19,Conservative
Chancellor of the Exchequer,Stanley Baldwin,1922-10-27,1923-08-27,Conservative
Chancellor of the Exchequer,Neville Chamberlain,1923-08-27,1924-01-22,Conservative
Chancellor of the Exchequer,Philip Snowden,1924-01-22,1924-11-03,Labour
Chancellor of the Exchequer,Winston Churchill,1924-11-06,1929-06-04,Conservative
Chancellor of the Exchequer,Philip Snowden,1929-06-07,1931-11-05,Labour
Chancellor of the Exchequer,Neville Chamberlain,1931-11-05,1937-05-28,Conservative
Chancellor of the Exchequer,John Simon,1937-05-28,1940-05-12,Liberal National
Chancellor of the Exchequer,Kingsley Wood,1940-05-12,1943-09-21,Conservative
Chancellor of the Exchequer,John Anderson,1943-09-24,1945-07-26,Independent
Chancellor of the Exchequer,Hugh Dalton,1945-07-27,1947-11-13,Labour
Chancellor of the Exchequer,Stafford Cripps,1947-11-13,1950-10-19,Labour
Chancellor of the Exchequer,Hugh Gaitskell,1950-10-19,1951-10-26,Labour
Chancellor of the Exchequer,Richard Austen Butler,1951-10-26,1955-12-20,Conservative
Chancellor of the Exchequer,Harold Macmillan,1955-12-20,1957-01-13,Conservative
Chancellor of the Exchequer,Peter Thorneycroft,1957-01-13,1958-01-06,Conservative
Chancellor of the Exchequer,Derick Heathcoat-Amory,1958-01-06,1960-07-27,Conservative
Chancellor of the Exchequer,Selwyn Lloyd,1960-07-27,1962-07-13,Conservative
Chancellor of the Exchequer,Reginald Maudling,1962-07-16,1964-10-16,Conservative
Chancellor of the Exchequer,James Callaghan,1964-10-17,1967-11-29,Labour
Chancellor of the Exchequer,Roy Jenkins,1967-11-29,1970-06-19,Labour
Chancellor of the Exchequer,Iain Macleod,1970-06-20,1970-07-20,Conservative
Chancellor of the Exchequer,Anthony Barber,1970-07-25,1974-03-04,Conservative
Chancellor of the Exchequer,Denis Healey,1974-03-05,1979-05-04,Labour
Chancellor of the Exchequer,Geoffrey Howe,1979-05-04,1983-06-11,Conservative
Chancellor of the Exchequer,Nigel Lawson,1983-06-11,1989-10-26,Conservative
Chancellor of the Exchequer,John Major,1989-10-26,1990-11-28,Conservative
Chancellor of the Exchequer,Norman Lamont,1990-11-28,1993-05-27,Conservative
Chancellor of the Exchequer,Kenneth Clarke,1993-05-27,1997-05-02,Conservative
Chancellor of the Exchequer,Gordon Brown,1997-05-02,2007-06-27,Labour
Chancellor of the Exchequer,Alistair Darling,2007-06-28,2010-05-11,Labour
Chancellor of the Exchequer,George Osborne,2010-05-11,2016-07-13,Conservative
Chancellor of the Exchequer,Philip Hammond,2016-07-13,2019-07-24,Conservative
Chancellor of the Exchequer,Sajid Javid,2019-07-24,2020-02-13,Conservative
Chancellor of the Exchequer,Rishi Sunak,2020-02-13,2022-07-05,Conservative
Chancellor of the Exchequer,Nadhim Zahawi,2022-07-05,2022-09-06,Conservative
Chancellor of the Exchequer,Kwasi Kwarteng,2022-09-06,2022-10-14,Conservative
Chancellor of the Exchequer,Jeremy Hunt,2022-10-14,,Conservative
